dataset,transform,model,repeat,Accuracy,CV,Accuracy_sensitive_0,Accuracy_sensitive_0-sensitive_1,Accuracy_sensitive_0/sensitive_1,Accuracy_sensitive_1,TPR_sensitive_0,TPR_sensitive_0-sensitive_1,TPR_sensitive_0/sensitive_1,TPR_sensitive_1,prob_pos_sensitive_0,prob_pos_sensitive_0-sensitive_1,prob_pos_sensitive_0/sensitive_1,prob_pos_sensitive_1
Adult,no_transform,SVM,0,0.8512,0.8409320368309581,0.9307784911717496,0.11917705347206908,1.1468418461774197,0.8116014376996805,0.5439252336448598,0.03695230401067395,0.9363853796794824,0.5808775376555337,0.07865168539325842,0.1590679631690419,0.3308590007975121,0.23771964856230032
Adult,no_transform,Logistic Regression,0,0.8502666666666666,0.8336485058897738,0.9293739967897271,0.11847144087918393,1.1460982457333053,0.8109025559105432,0.5420560747663551,0.05126416099002995,0.9135978213777309,0.593320235756385,0.07965489566613163,0.1663514941102262,0.3237919784870026,0.24600638977635783
Adult,no_transform,Kamishima,0,0.8488666666666667,0.8258273119349331,0.9239566613162119,0.11245506387212245,1.1385765157164343,0.8115015974440895,0.48411214953271026,0.11150016218962117,0.8127974187316641,0.5956123117223314,0.07263242375601926,0.17417268806506697,0.294290597225036,0.24680511182108625
Adult,no_transform,Agarwal LR,0,0.8502666666666666,0.8336485058897738,0.9293739967897271,0.11847144087918393,1.1460982457333053,0.8109025559105432,0.5420560747663551,0.05126416099002995,0.9135978213777309,0.593320235756385,0.07965489566613163,0.1663514941102262,0.3237919784870026,0.24600638977635783
Adult,no_transform,Agarwal SVM,0,0.8512,0.8409320368309581,0.9307784911717496,0.11917705347206908,1.1468418461774197,0.8116014376996805,0.5439252336448598,0.03695230401067395,0.9363853796794824,0.5808775376555337,0.07865168539325842,0.1590679631690419,0.3308590007975121,0.23771964856230032
Adult,no_transform,Kamiran & Calders LR,0,0.8423333333333334,0.9195181770162923,0.9159309791332263,0.11022011651341801,1.136798598141065,0.8057108626198083,0.680373831775701,0.1656390577089033,1.3217949632589,0.5147347740667977,0.12279293739967898,0.0804818229837076,0.6040737038286762,0.20327476038338657
Adult,no_transform,Kamiran & Calders SVM,0,0.8512,0.8409320368309581,0.9307784911717496,0.11917705347206908,1.1468418461774197,0.8116014376996805,0.5439252336448598,0.03695230401067395,0.9363853796794824,0.5808775376555337,0.07865168539325842,0.1590679631690419,0.3308590007975121,0.23771964856230032
