dataset,transform,model,repeat,Accuracy,CV,Accuracy_sensitive_0,Accuracy_sensitive_0-sensitive_1,Accuracy_sensitive_0/sensitive_1,Accuracy_sensitive_1,TPR_sensitive_0,TPR_sensitive_0-sensitive_1,TPR_sensitive_0/sensitive_1,TPR_sensitive_1,prob_pos_sensitive_0,prob_pos_sensitive_0-sensitive_1,prob_pos_sensitive_0/sensitive_1,prob_pos_sensitive_1
Adult,no_transform,SVM,2,0.8501333333333333,0.841,0.9264,0.11439999999999995,1.1408866995073892,0.812,0.526508226691042,0.05868447107772068,0.8997176976037563,0.5851926977687627,0.0794,0.159,0.33305369127516776,0.2384
Adult,no_transform,Logistic Regression,2,0.8500666666666666,0.8351,0.9264,0.11450000000000005,1.1410272201009977,0.8119,0.5338208409506399,0.06388030847464754,0.893123330052032,0.5977011494252874,0.081,0.1649,0.3294021960146401,0.2459
Adult,no_transform,Kamishima,2,0.8491333333333333,0.8257,0.922,0.10930000000000006,1.134489971699274,0.8127,0.4826325411334552,0.12081573472861373,0.7997910681640116,0.603448275862069,0.0742,0.1743,0.29859154929577464,0.2485
Adult,no_transform,Agarwal LR,2,0.8500666666666666,0.8351,0.9264,0.11450000000000005,1.1410272201009977,0.8119,0.5338208409506399,0.06388030847464754,0.893123330052032,0.5977011494252874,0.081,0.1649,0.3294021960146401,0.2459
Adult,no_transform,Agarwal SVM,2,0.8501333333333333,0.841,0.9264,0.11439999999999995,1.1408866995073892,0.812,0.526508226691042,0.05868447107772068,0.8997176976037563,0.5851926977687627,0.0794,0.159,0.33305369127516776,0.2384
Adult,no_transform,Kamiran & Calders LR,2,0.8434666666666667,0.9237,0.9118,0.10250000000000004,1.126652662795008,0.8093,0.6819012797074955,0.15891277396036907,1.3038551941659804,0.5229885057471264,0.128,0.0763,0.6265296133137542,0.2043
Adult,no_transform,Kamiran & Calders SVM,2,0.8501333333333333,0.841,0.9264,0.11439999999999995,1.1408866995073892,0.812,0.526508226691042,0.05868447107772068,0.8997176976037563,0.5851926977687627,0.0794,0.159,0.33305369127516776,0.2384
