dataset,transform,model,repeat,Accuracy,CV,Accuracy_sensitive_0,Accuracy_sensitive_0-sensitive_1,Accuracy_sensitive_0/sensitive_1,Accuracy_sensitive_1,TPR_sensitive_0,TPR_sensitive_0-sensitive_1,TPR_sensitive_0/sensitive_1,TPR_sensitive_1,prob_pos_sensitive_0,prob_pos_sensitive_0-sensitive_1,prob_pos_sensitive_0/sensitive_1,prob_pos_sensitive_1
Adult,no_transform,SVM,8,0.8534666666666667,0.8336563749395676,0.9275653923541247,0.11081564160636803,1.1356788190077969,0.8167497507477567,0.502835538752363,0.09040725687532836,0.8476049645412528,0.5932427956276913,0.07303822937625755,0.16634362506043238,0.30511180368340823,0.23938185443668994
Adult,no_transform,Logistic Regression,8,0.8523333333333334,0.82648332667992,0.9277665995975856,0.11281146500137418,1.1384265957871034,0.8149551345962114,0.5066162570888468,0.0965636037922396,0.8399091049704716,0.6031798608810864,0.07364185110663984,0.17351667332008,0.29795391956417816,0.24715852442671984
Adult,no_transform,Kamishima,8,0.8517333333333333,0.8140175048295757,0.9251509054325956,0.10979696724715193,1.1346617243199968,0.8153539381854437,0.44045368620037806,0.16504482323983394,0.7274232377674734,0.605498509440212,0.06217303822937626,0.18598249517042434,0.250540608051685,0.2481555333998006
Adult,no_transform,Agarwal LR,8,0.8523333333333334,0.82648332667992,0.9277665995975856,0.11281146500137418,1.1384265957871034,0.8149551345962114,0.5066162570888468,0.0965636037922396,0.8399091049704716,0.6031798608810864,0.07364185110663984,0.17351667332008,0.29795391956417816,0.24715852442671984
Adult,no_transform,Agarwal SVM,8,0.8534666666666667,0.8336563749395676,0.9275653923541247,0.11081564160636803,1.1356788190077969,0.8167497507477567,0.502835538752363,0.09040725687532836,0.8476049645412528,0.5932427956276913,0.07303822937625755,0.16634362506043238,0.30511180368340823,0.23938185443668994
Adult,no_transform,Kamiran & Calders LR,8,0.8476666666666667,0.909940400127585,0.917102615694165,0.10384239635219084,1.1276865557695812,0.8132602193419741,0.6691871455576559,0.1322543863658705,1.2463146159398908,0.5369327591917854,0.11891348088531187,0.09005959987241496,0.5690373154960295,0.20897308075772683
Adult,no_transform,Kamiran & Calders SVM,8,0.8534666666666667,0.8336563749395676,0.9275653923541247,0.11081564160636803,1.1356788190077969,0.8167497507477567,0.502835538752363,0.09040725687532836,0.8476049645412528,0.5932427956276913,0.07303822937625755,0.16634362506043238,0.30511180368340823,0.23938185443668994
