dataset,transform,model,repeat,Accuracy,CV,Accuracy_sensitive_0,Accuracy_sensitive_0-sensitive_1,Accuracy_sensitive_0/sensitive_1,Accuracy_sensitive_1,TPR_sensitive_0,TPR_sensitive_0-sensitive_1,TPR_sensitive_0/sensitive_1,TPR_sensitive_1,prob_pos_sensitive_0,prob_pos_sensitive_0-sensitive_1,prob_pos_sensitive_0/sensitive_1,prob_pos_sensitive_1
Adult,no_transform,SVM,5,0.8547333333333333,0.8384946980607628,0.9295717475137,0.11144407949027102,1.1362184459052906,0.818127668023429,0.49433962264150944,0.08579067051809963,0.8521182714819956,0.5801302931596091,0.0692104729044043,0.16150530193923712,0.29998153767902946,0.23071577484364142
Adult,no_transform,Logistic Regression,5,0.8522,0.8307027060485652,0.9242947026588187,0.10735833811995243,1.1314157904827173,0.8169363645388663,0.5018867924528302,0.10039333784032944,0.8333112238129738,0.6022801302931596,0.07611122386847981,0.16929729395143484,0.31014092153203765,0.24540851781991463
Adult,no_transform,Kamishima,5,0.8516666666666667,0.8218605761057736,0.9206413639131317,0.10271224647046318,1.1255759750815604,0.8179291174426685,0.46226415094339623,0.14815930182533343,0.7572843881516683,0.6104234527687297,0.0712401055408971,0.1781394238942265,0.2856694200292422,0.2493795294351236
Adult,no_transform,Agarwal LR,5,0.8522,0.8307027060485652,0.9242947026588187,0.10735833811995243,1.1314157904827173,0.8169363645388663,0.5018867924528302,0.10039333784032944,0.8333112238129738,0.6022801302931596,0.07611122386847981,0.16929729395143484,0.31014092153203765,0.24540851781991463
Adult,no_transform,Agarwal SVM,5,0.8376,0.8712886490825216,0.9222650700223259,0.1260772411729265,1.1583511284706844,0.7961878288493994,0.48867924528301887,0.011646487616003953,0.9767221894654088,0.5003257328990228,0.07529937081388269,0.12871135091747837,0.36909516409160115,0.20401072173136106
Adult,no_transform,Kamiran & Calders LR,5,0.8441333333333333,0.9195586043679395,0.9133346864217576,0.10304976633836638,1.1271771987657884,0.8102849200833913,0.6641509433962264,0.1433040378587671,1.275136583005888,0.5208469055374593,0.12198092145321697,0.0804413956320605,0.6026060921031166,0.20242231708527747
Adult,no_transform,Kamiran & Calders SVM,5,0.8289333333333333,0.9415161144227613,0.9025776334483459,0.10966588918149389,1.13830781291163,0.792911744266852,0.660377358490566,0.1877389220084813,1.3972146730296606,0.4726384364820847,0.13192612137203166,0.05848388557723866,0.6928528783005604,0.19041000694927032
