dataset,transform,model,repeat,Accuracy,CV,Accuracy_sensitive_0,Accuracy_sensitive_0-sensitive_1,Accuracy_sensitive_0/sensitive_1,Accuracy_sensitive_1,TPR_sensitive_0,TPR_sensitive_0-sensitive_1,TPR_sensitive_0/sensitive_1,TPR_sensitive_1,prob_pos_sensitive_0,prob_pos_sensitive_0-sensitive_1,prob_pos_sensitive_0/sensitive_1,prob_pos_sensitive_1
Adult,tilde,SVM,0,0.8442,0.8474343137657117,0.9149277688603531,0.10592217780603996,1.1309288575719234,0.8090055910543131,0.5794392523364486,0.02501392382596135,0.9586172679498992,0.6044531761624099,0.10212680577849118,0.15256568623428837,0.4009808258241347,0.25469249201277955
Adult,tilde,Logistic Regression,0,0.8438,0.8420448630505797,0.9141252006420546,0.1053192900989236,1.1302157770189876,0.808805910543131,0.577570093457944,0.03605138656825113,0.9412481672468309,0.6136214800261951,0.10252808988764045,0.15795513694942026,0.3936072626732874,0.2604832268370607
Adult,tilde,Kamishima,0,0.8457333333333333,0.8255039128405787,0.9185393258426966,0.10903453351042824,1.134692882047416,0.8095047923322684,0.5327102803738317,0.08615023043166925,0.8607921673342234,0.618860510805501,0.08848314606741572,0.17449608715942136,0.3364643853497478,0.2629792332268371
Adult,tilde,Agarwal LR,0,0.8438,0.8420448630505797,0.9141252006420546,0.1053192900989236,1.1302157770189876,0.808805910543131,0.577570093457944,0.03605138656825113,0.9412481672468309,0.6136214800261951,0.10252808988764045,0.15795513694942026,0.3936072626732874,0.2604832268370607
Adult,tilde,Agarwal SVM,0,0.8442,0.8474343137657117,0.9149277688603531,0.10592217780603996,1.1309288575719234,0.8090055910543131,0.5794392523364486,0.02501392382596135,0.9586172679498992,0.6044531761624099,0.10212680577849118,0.15256568623428837,0.4009808258241347,0.25469249201277955
Adult,tilde,Kamiran & Calders LR,0,0.8425333333333334,0.8676376225006281,0.9147271268057785,0.10811770188565073,1.134039720520693,0.8066094249201278,0.6130841121495327,0.03351633218882544,1.057829874861397,0.5795677799607073,0.10955056179775281,0.1323623774993718,0.45285118735711605,0.2419129392971246
Adult,tilde,Kamiran & Calders SVM,0,0.8442,0.8474343137657117,0.9149277688603531,0.10592217780603996,1.1309288575719234,0.8090055910543131,0.5794392523364486,0.02501392382596135,0.9586172679498992,0.6044531761624099,0.10212680577849118,0.15256568623428837,0.4009808258241347,0.25469249201277955
