dataset,transform,model,repeat,Accuracy,CV,Accuracy_sensitive_0,Accuracy_sensitive_0-sensitive_1,Accuracy_sensitive_0/sensitive_1,Accuracy_sensitive_1,TPR_sensitive_0,TPR_sensitive_0-sensitive_1,TPR_sensitive_0/sensitive_1,TPR_sensitive_1,prob_pos_sensitive_0,prob_pos_sensitive_0-sensitive_1,prob_pos_sensitive_0/sensitive_1,prob_pos_sensitive_1
Adult,beutel,SVM,3,0.7677346708977377,0.9992183921955579,0.8836722488038278,0.17627925269487832,1.2491956432485354,0.7073929961089495,0.225,0.11648494288681205,2.073444976076555,0.10851505711318796,0.057117224880382775,0.0007816078044421276,0.9865004566033853,0.0578988326848249
Adult,beutel,Logistic Regression,3,0.7653802845736514,0.9889722227393741,0.8797846889952153,0.1739481131197289,1.2464424755885906,0.7058365758754864,0.13333333333333333,0.0367601246105919,1.3806451612903226,0.09657320872274143,0.04126794258373206,0.01102777726062592,0.7891265806561859,0.05229571984435798
Adult,beutel,Kamishima,3,0.7702937864673969,0.9486381322957198,0.8923444976076556,0.18557406959209133,1.2625662623054805,0.7067704280155642,0.0,0.09657320872274143,0.0,0.09657320872274143,0.0,0.051361867704280154,0.0,0.051361867704280154
Adult,beutel,Agarwal LR,3,0.766403930801515,0.9858628730474932,0.88127990430622,0.1746651183140021,1.2471857676580316,0.7066147859922179,0.12222222222222222,0.02564901349948079,1.2655913978494624,0.09657320872274143,0.03738038277511962,0.014137126952506844,0.7255859798493762,0.05151750972762646
Adult,beutel,Agarwal SVM,3,0.7677346708977377,0.9992183921955579,0.8836722488038278,0.17627925269487832,1.2491956432485354,0.7073929961089495,0.225,0.11648494288681205,2.073444976076555,0.10851505711318796,0.057117224880382775,0.0007816078044421276,0.9865004566033853,0.0578988326848249
Adult,beutel,Kamiran & Calders LR,3,0.7651755553280786,0.9901194310502113,0.8797846889952153,0.17425939716642158,1.2469924171176392,0.7055252918287938,0.14444444444444443,0.04631360332294911,1.471957671957672,0.09813084112149532,0.04366028708133971,0.009880568949788691,0.8154573967953711,0.0535408560311284
Adult,beutel,Kamiran & Calders SVM,3,0.7677346708977377,0.9992183921955579,0.8836722488038278,0.17627925269487832,1.2491956432485354,0.7073929961089495,0.225,0.11648494288681205,2.073444976076555,0.10851505711318796,0.057117224880382775,0.0007816078044421276,0.9865004566033853,0.0578988326848249
